Change Physical Footprint: Designator=*1 Old Footprint=MLX90333_Joy New Footprint=MLX90333_Joy
Change Physical Footprint: Designator=C1 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C2 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C3 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C4 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C5 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C6 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C7 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C8 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C9 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=C10 Old Footprint=RAD-0.3 New Footprint=RAD-0.3
Change Physical Footprint: Designator=D1 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D2 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D3 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D4 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D5 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D6 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D7 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D8 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D9 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D10 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=D11 Old Footprint=3.2X1.6X1.1 New Footprint=3.2X1.6X1.1
Change Physical Footprint: Designator=R1 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R2 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R3 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R4 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R5 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R6 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R7 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R8 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R9 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R10 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R11 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R12 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R13 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R14 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R15 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R16 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R17 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R18 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R19 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R20 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R21 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R22 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R23 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R24 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R25 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R26 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R27 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R28 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
Change Physical Footprint: Designator=R29 Old Footprint=AXIAL-0.4 New Footprint=AXIAL-0.4
